Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Survived
3.0,1.0,22,1.0,0.0,7.25,0,0.0
1.0,0.0,38,1.0,0.0,71.2833,1,1.0
3.0,0.0,26,0.0,0.0,7.925,0,1.0
1.0,0.0,35,1.0,0.0,53.1,0,1.0
3.0,1.0,35,0.0,0.0,8.05,0,0.0
3.0,1.0,38,0.0,0.0,8.4583,2,0.0
1.0,1.0,54,0.0,0.0,51.8625,0,0.0
3.0,1.0,2,3.0,1.0,21.075,0,0.0
3.0,0.0,27,0.0,2.0,11.1333,0,1.0
2.0,0.0,14,1.0,0.0,30.0708,1,1.0
3.0,0.0,4,1.0,1.0,16.7,0,1.0
1.0,0.0,58,0.0,0.0,26.55,0,1.0
3.0,1.0,20,0.0,0.0,8.05,0,0.0
3.0,1.0,39,1.0,5.0,31.275,0,0.0
3.0,0.0,14,0.0,0.0,7.8542,0,0.0
2.0,0.0,55,0.0,0.0,16.0,0,1.0
3.0,1.0,2,4.0,1.0,29.125,2,0.0
2.0,1.0,35,0.0,0.0,13.0,0,1.0
3.0,0.0,31,1.0,0.0,18.0,0,0.0
3.0,0.0,19,0.0,0.0,7.225,1,1.0
2.0,1.0,35,0.0,0.0,26.0,0,0.0
2.0,1.0,34,0.0,0.0,13.0,0,1.0
3.0,0.0,15,0.0,0.0,8.0292,2,1.0
1.0,1.0,28,0.0,0.0,35.5,0,1.0
3.0,0.0,8,3.0,1.0,21.075,0,0.0
3.0,0.0,38,1.0,5.0,31.3875,0,1.0
3.0,1.0,31,0.0,0.0,7.225,1,0.0
1.0,1.0,19,3.0,2.0,263.0,0,0.0
3.0,0.0,19,0.0,0.0,7.8792,2,1.0
3.0,1.0,27,0.0,0.0,7.8958,0,0.0
1.0,1.0,40,0.0,0.0,27.7208,1,0.0
1.0,0.0,31,1.0,0.0,146.5208,1,1.0
3.0,0.0,19,0.0,0.0,7.75,2,1.0
2.0,1.0,66,0.0,0.0,10.5,0,0.0
1.0,1.0,28,1.0,0.0,82.1708,1,0.0
1.0,1.0,42,1.0,0.0,52.0,0,0.0
3.0,1.0,25,0.0,0.0,7.2292,1,1.0
3.0,1.0,21,0.0,0.0,8.05,0,0.0
3.0,0.0,18,2.0,0.0,18.0,0,0.0
3.0,0.0,14,1.0,0.0,11.2417,1,1.0
3.0,0.0,40,1.0,0.0,9.475,0,0.0
2.0,0.0,27,1.0,0.0,21.0,0,0.0
3.0,1.0,31,0.0,0.0,7.8958,1,0.0
2.0,0.0,3,1.0,2.0,41.5792,1,1.0
3.0,0.0,19,0.0,0.0,7.8792,2,1.0
3.0,1.0,32,0.0,0.0,8.05,0,0.0
3.0,1.0,24,1.0,0.0,15.5,2,0.0
3.0,0.0,19,0.0,0.0,7.75,2,1.0
3.0,1.0,20,2.0,0.0,21.6792,1,0.0
3.0,0.0,18,1.0,0.0,17.8,0,0.0
3.0,1.0,7,4.0,1.0,39.6875,0,0.0
3.0,1.0,21,0.0,0.0,7.8,0,0.0
1.0,0.0,49,1.0,0.0,76.7292,1,1.0
2.0,0.0,29,1.0,0.0,26.0,0,1.0
1.0,1.0,65,0.0,1.0,61.9792,1,0.0
1.0,1.0,36,0.0,0.0,35.5,0,1.0
2.0,0.0,21,0.0,0.0,10.5,0,1.0
3.0,1.0,28,0.0,0.0,7.2292,1,0.0
2.0,0.0,5,1.0,2.0,27.75,0,1.0
3.0,1.0,11,5.0,2.0,46.9,0,0.0
3.0,1.0,22,0.0,0.0,7.2292,1,0.0
1.0,0.0,38,0.0,0.0,80.0,0,1.0
1.0,1.0,45,1.0,0.0,83.475,0,0.0
3.0,1.0,4,3.0,2.0,27.9,0,0.0
1.0,1.0,48,0.0,0.0,27.7208,1,0.0
3.0,1.0,18,1.0,1.0,15.2458,1,1.0
2.0,0.0,29,0.0,0.0,10.5,0,1.0
3.0,1.0,19,0.0,0.0,8.1583,0,0.0
3.0,0.0,17,4.0,2.0,7.925,0,1.0
3.0,1.0,26,2.0,0.0,8.6625,0,0.0
2.0,1.0,32,0.0,0.0,10.5,0,0.0
3.0,0.0,16,5.0,2.0,46.9,0,0.0
2.0,1.0,21,0.0,0.0,73.5,0,0.0
3.0,1.0,26,1.0,0.0,14.4542,1,0.0
3.0,1.0,32,0.0,0.0,56.4958,0,1.0
3.0,1.0,25,0.0,0.0,7.65,0,0.0
3.0,1.0,27,0.0,0.0,7.8958,0,0.0
3.0,1.0,32,0.0,0.0,8.05,0,0.0
2.0,1.0,0,0.0,2.0,29.0,0,1.0
3.0,0.0,30,0.0,0.0,12.475,0,1.0
3.0,1.0,22,0.0,0.0,9.0,0,0.0
3.0,1.0,29,0.0,0.0,9.5,0,1.0
3.0,0.0,19,0.0,0.0,7.7875,2,1.0
1.0,1.0,28,0.0,0.0,47.1,0,0.0
2.0,0.0,17,0.0,0.0,10.5,0,1.0
3.0,0.0,33,3.0,0.0,15.85,0,1.0
3.0,1.0,16,1.0,3.0,34.375,0,0.0
3.0,1.0,32,0.0,0.0,8.05,0,0.0
1.0,0.0,23,3.0,2.0,263.0,0,1.0
3.0,1.0,24,0.0,0.0,8.05,0,0.0
3.0,1.0,29,0.0,0.0,8.05,0,0.0
3.0,1.0,20,0.0,0.0,7.8542,0,0.0
1.0,1.0,46,1.0,0.0,61.175,0,0.0
3.0,1.0,26,1.0,2.0,20.575,0,0.0
3.0,1.0,59,0.0,0.0,7.25,0,0.0
3.0,1.0,32,0.0,0.0,8.05,0,0.0
1.0,1.0,71,0.0,0.0,34.6542,1,0.0
1.0,1.0,23,0.0,1.0,63.3583,1,1.0
2.0,0.0,34,0.0,1.0,23.0,0,1.0
2.0,1.0,34,1.0,0.0,26.0,0,0.0
3.0,0.0,28,0.0,0.0,7.8958,0,0.0
3.0,1.0,27,0.0,0.0,7.8958,0,0.0
1.0,1.0,21,0.0,1.0,77.2875,0,0.0
3.0,1.0,33,0.0,0.0,8.6542,0,0.0
3.0,1.0,37,2.0,0.0,7.925,0,0.0
3.0,1.0,28,0.0,0.0,7.8958,0,0.0
3.0,0.0,21,0.0,0.0,7.65,0,1.0
3.0,1.0,32,0.0,0.0,7.775,0,1.0
3.0,1.0,38,0.0,0.0,7.8958,0,0.0
3.0,0.0,27,1.0,0.0,24.15,2,1.0
1.0,1.0,47,0.0,0.0,52.0,0,0.0
3.0,0.0,14,1.0,0.0,14.4542,1,0.0
3.0,1.0,22,0.0,0.0,8.05,0,0.0
3.0,0.0,20,1.0,0.0,9.825,0,0.0
3.0,0.0,17,0.0,0.0,14.4583,1,0.0
3.0,1.0,21,0.0,0.0,7.925,0,0.0
3.0,1.0,70,0.0,0.0,7.75,2,0.0
2.0,1.0,29,1.0,0.0,21.0,0,0.0
1.0,1.0,24,0.0,1.0,247.5208,1,0.0
3.0,0.0,2,4.0,2.0,31.275,0,0.0
2.0,1.0,21,2.0,0.0,73.5,0,0.0
3.0,1.0,32,0.0,0.0,8.05,0,0.0
2.0,1.0,32,1.0,0.0,30.0708,1,0.0
2.0,0.0,32,0.0,0.0,13.0,0,1.0
1.0,1.0,54,0.0,1.0,77.2875,0,0.0
3.0,1.0,12,1.0,0.0,11.2417,1,1.0
3.0,1.0,35,0.0,0.0,7.75,2,0.0
3.0,1.0,24,0.0,0.0,7.1417,0,1.0
3.0,0.0,23,1.0,1.0,22.3583,1,1.0
3.0,1.0,45,0.0,0.0,6.975,0,0.0
3.0,1.0,33,0.0,0.0,7.8958,1,0.0
3.0,1.0,20,0.0,0.0,7.05,0,0.0
3.0,0.0,47,1.0,0.0,14.5,0,0.0
2.0,0.0,29,1.0,0.0,26.0,0,1.0
2.0,1.0,25,0.0,0.0,13.0,0,0.0
2.0,1.0,23,0.0,0.0,15.0458,1,0.0
1.0,0.0,19,0.0,2.0,26.2833,0,1.0
1.0,1.0,37,1.0,0.0,53.1,0,0.0
3.0,1.0,16,0.0,0.0,9.2167,0,0.0
1.0,1.0,24,0.0,0.0,79.2,1,0.0
3.0,0.0,27,0.0,2.0,15.2458,1,0.0
3.0,0.0,22,0.0,0.0,7.75,0,1.0
3.0,0.0,24,1.0,0.0,15.85,0,1.0
3.0,1.0,19,0.0,0.0,6.75,2,0.0
2.0,1.0,18,0.0,0.0,11.5,0,0.0
2.0,1.0,19,1.0,1.0,36.75,0,0.0
3.0,1.0,27,0.0,0.0,7.7958,0,1.0
3.0,0.0,9,2.0,2.0,34.375,0,0.0
2.0,1.0,36,0.0,2.0,26.0,0,0.0
2.0,1.0,42,0.0,0.0,13.0,0,0.0
2.0,1.0,51,0.0,0.0,12.525,0,0.0
1.0,0.0,22,1.0,0.0,66.6,0,1.0
3.0,1.0,55,0.0,0.0,8.05,0,0.0
3.0,1.0,40,0.0,2.0,14.5,0,0.0
3.0,1.0,30,0.0,0.0,7.3125,0,0.0
1.0,1.0,51,0.0,1.0,61.3792,1,0.0
3.0,0.0,16,0.0,0.0,7.7333,2,1.0
3.0,1.0,30,0.0,0.0,8.05,0,0.0
3.0,1.0,25,0.0,0.0,8.6625,0,0.0
3.0,1.0,34,8.0,2.0,69.55,0,0.0
3.0,1.0,44,0.0,1.0,16.1,0,0.0
2.0,0.0,40,0.0,0.0,15.75,0,1.0
3.0,1.0,26,0.0,0.0,7.775,0,0.0
3.0,1.0,17,0.0,0.0,8.6625,0,0.0
3.0,1.0,1,4.0,1.0,39.6875,0,0.0
3.0,1.0,9,0.0,2.0,20.525,0,1.0
1.0,0.0,32,0.0,1.0,55.0,0,1.0
3.0,0.0,45,1.0,4.0,27.9,0,0.0
1.0,1.0,55,0.0,0.0,25.925,0,0.0
3.0,1.0,28,0.0,0.0,56.4958,0,0.0
1.0,1.0,61,0.0,0.0,33.5,0,0.0
3.0,1.0,4,4.0,1.0,29.125,2,0.0
3.0,0.0,1,1.0,1.0,11.1333,0,1.0
3.0,1.0,21,0.0,0.0,7.925,0,0.0
1.0,1.0,56,0.0,0.0,30.6958,1,0.0
3.0,1.0,18,1.0,1.0,7.8542,0,0.0
3.0,1.0,26,3.0,1.0,25.4667,0,0.0
1.0,0.0,50,0.0,0.0,28.7125,1,0.0
2.0,1.0,30,0.0,0.0,13.0,0,0.0
3.0,1.0,36,0.0,0.0,0.0,0,0.0
3.0,0.0,34,8.0,2.0,69.55,0,0.0
2.0,1.0,29,0.0,0.0,15.05,1,0.0
3.0,1.0,9,4.0,2.0,31.3875,0,0.0
2.0,1.0,1,2.0,1.0,39.0,0,1.0
3.0,0.0,4,0.0,2.0,22.025,0,1.0
1.0,1.0,40,0.0,0.0,50.0,0,0.0
3.0,0.0,22,1.0,0.0,15.5,2,1.0
1.0,1.0,45,0.0,0.0,26.55,0,1.0
3.0,1.0,40,1.0,1.0,15.5,2,0.0
3.0,1.0,36,0.0,0.0,7.8958,0,0.0
2.0,0.0,32,0.0,0.0,13.0,0,1.0
2.0,1.0,19,0.0,0.0,13.0,0,0.0
3.0,0.0,19,1.0,0.0,7.8542,0,1.0
2.0,1.0,3,1.0,1.0,26.0,0,1.0
1.0,0.0,44,0.0,0.0,27.7208,1,1.0
1.0,0.0,58,0.0,0.0,146.5208,1,1.0
3.0,1.0,35,0.0,0.0,7.75,2,0.0
3.0,1.0,42,0.0,1.0,8.4042,0,0.0
3.0,0.0,19,0.0,0.0,7.75,2,1.0
2.0,0.0,24,0.0,0.0,13.0,0,0.0
3.0,1.0,28,0.0,0.0,9.5,0,0.0
3.0,1.0,34,8.0,2.0,69.55,0,0.0
3.0,1.0,34,0.0,0.0,6.4958,0,0.0
3.0,1.0,45,0.0,0.0,7.225,1,0.0
3.0,1.0,18,0.0,0.0,8.05,0,1.0
3.0,0.0,2,0.0,1.0,10.4625,0,0.0
3.0,1.0,32,1.0,0.0,15.85,0,0.0
3.0,1.0,26,0.0,0.0,18.7875,1,1.0
3.0,0.0,16,0.0,0.0,7.75,2,1.0
1.0,1.0,40,0.0,0.0,31.0,1,1.0
3.0,1.0,24,0.0,0.0,7.05,0,0.0
2.0,0.0,35,0.0,0.0,21.0,0,1.0
3.0,1.0,22,0.0,0.0,7.25,0,0.0
2.0,1.0,30,0.0,0.0,13.0,0,0.0
3.0,1.0,36,1.0,0.0,7.75,2,0.0
1.0,0.0,31,1.0,0.0,113.275,1,1.0
3.0,0.0,27,0.0,0.0,7.925,0,1.0
2.0,1.0,42,1.0,0.0,27.0,0,0.0
1.0,0.0,32,0.0,0.0,76.2917,1,1.0
2.0,1.0,30,0.0,0.0,10.5,0,0.0
3.0,1.0,16,0.0,0.0,8.05,0,1.0
2.0,1.0,27,0.0,0.0,13.0,0,0.0
3.0,1.0,51,0.0,0.0,8.05,0,0.0
3.0,1.0,27,0.0,0.0,7.8958,0,0.0
1.0,1.0,38,1.0,0.0,90.0,0,1.0
3.0,1.0,22,0.0,0.0,9.35,0,0.0
2.0,1.0,19,0.0,0.0,10.5,0,1.0
3.0,1.0,20,0.0,0.0,7.25,0,0.0
2.0,1.0,18,0.0,0.0,13.0,0,0.0
3.0,0.0,30,3.0,1.0,25.4667,0,0.0
1.0,0.0,35,1.0,0.0,83.475,0,1.0
3.0,1.0,29,0.0,0.0,7.775,0,0.0
2.0,1.0,59,0.0,0.0,13.5,0,0.0
3.0,0.0,5,4.0,2.0,31.3875,0,1.0
2.0,1.0,24,0.0,0.0,10.5,0,0.0
3.0,0.0,27,0.0,0.0,7.55,0,0.0
2.0,1.0,44,1.0,0.0,26.0,0,0.0
2.0,0.0,8,0.0,2.0,26.25,0,1.0
2.0,1.0,19,0.0,0.0,10.5,0,0.0
2.0,1.0,33,0.0,0.0,12.275,0,0.0
3.0,0.0,24,1.0,0.0,14.4542,1,0.0
3.0,0.0,22,1.0,0.0,15.5,2,1.0
2.0,1.0,29,0.0,0.0,10.5,0,0.0
3.0,1.0,22,0.0,0.0,7.125,0,0.0
3.0,1.0,30,0.0,0.0,7.225,1,0.0
1.0,1.0,44,2.0,0.0,90.0,2,0.0
3.0,0.0,25,0.0,0.0,7.775,0,0.0
2.0,0.0,24,0.0,2.0,14.5,0,1.0
1.0,1.0,37,1.0,1.0,52.5542,0,1.0
2.0,1.0,54,1.0,0.0,26.0,0,0.0
3.0,1.0,29,0.0,0.0,7.25,0,0.0
3.0,0.0,29,1.0,1.0,10.4625,0,0.0
1.0,1.0,62,0.0,0.0,26.55,0,0.0
3.0,1.0,30,1.0,0.0,16.1,0,0.0
3.0,0.0,41,0.0,2.0,20.2125,0,0.0
3.0,0.0,29,0.0,2.0,15.2458,1,1.0
1.0,0.0,42,0.0,0.0,79.2,1,1.0
1.0,0.0,30,0.0,0.0,86.5,0,1.0
1.0,0.0,35,0.0,0.0,512.3292,1,1.0
2.0,0.0,50,0.0,1.0,26.0,0,1.0
3.0,1.0,35,0.0,0.0,7.75,2,0.0
3.0,1.0,3,4.0,2.0,31.3875,0,1.0
1.0,1.0,52,1.0,1.0,79.65,0,0.0
1.0,1.0,40,0.0,0.0,0.0,0,0.0
3.0,0.0,34,0.0,0.0,7.75,2,0.0
2.0,1.0,36,0.0,0.0,10.5,0,0.0
3.0,1.0,16,4.0,1.0,39.6875,0,0.0
3.0,1.0,25,1.0,0.0,7.775,0,1.0
1.0,0.0,58,0.0,1.0,153.4625,0,1.0
1.0,0.0,35,0.0,0.0,135.6333,0,1.0
1.0,1.0,49,0.0,0.0,31.0,0,0.0
3.0,1.0,25,0.0,0.0,0.0,0,1.0
2.0,0.0,41,0.0,1.0,19.5,0,1.0
1.0,1.0,37,0.0,1.0,29.7,1,0.0
3.0,0.0,19,0.0,0.0,7.75,2,1.0
1.0,0.0,63,1.0,0.0,77.9583,0,1.0
3.0,0.0,45,0.0,0.0,7.75,0,0.0
2.0,1.0,36,0.0,0.0,0.0,0,0.0
3.0,1.0,7,4.0,1.0,29.125,2,0.0
3.0,0.0,35,1.0,1.0,20.25,0,1.0
3.0,1.0,65,0.0,0.0,7.75,2,0.0
3.0,1.0,28,0.0,0.0,7.8542,0,0.0
3.0,1.0,16,0.0,0.0,9.5,0,0.0
3.0,1.0,19,0.0,0.0,8.05,0,1.0
1.0,1.0,55,0.0,0.0,26.0,0,0.0
3.0,1.0,33,0.0,0.0,8.6625,1,0.0
3.0,1.0,30,0.0,0.0,9.5,0,1.0
3.0,1.0,22,0.0,0.0,7.8958,0,0.0
2.0,1.0,42,0.0,0.0,13.0,0,1.0
3.0,0.0,22,0.0,0.0,7.75,2,1.0
1.0,0.0,26,0.0,0.0,78.85,0,1.0
1.0,0.0,19,1.0,0.0,91.0792,1,1.0
2.0,1.0,36,0.0,0.0,12.875,1,0.0
3.0,0.0,24,0.0,0.0,8.85,0,0.0
3.0,1.0,24,0.0,0.0,7.8958,0,0.0
1.0,1.0,48,0.0,0.0,27.7208,1,0.0
3.0,1.0,23,0.0,0.0,7.2292,1,0.0
1.0,0.0,2,1.0,2.0,151.55,0,0.0
1.0,1.0,41,0.0,0.0,30.5,0,1.0
1.0,0.0,50,0.0,1.0,247.5208,1,1.0
3.0,0.0,19,0.0,0.0,7.75,2,1.0
3.0,1.0,27,2.0,0.0,23.25,2,1.0
3.0,1.0,19,0.0,0.0,0.0,0,0.0
2.0,0.0,26,0.0,0.0,12.35,2,1.0
3.0,1.0,32,0.0,0.0,8.05,0,0.0
1.0,1.0,0,1.0,2.0,151.55,0,1.0
1.0,0.0,33,0.0,0.0,110.8833,1,1.0
1.0,0.0,17,1.0,0.0,108.9,1,1.0
2.0,1.0,30,1.0,0.0,24.0,1,0.0
1.0,0.0,30,0.0,0.0,56.9292,1,1.0
1.0,0.0,24,0.0,0.0,83.1583,1,1.0
1.0,0.0,18,2.0,2.0,262.375,1,1.0
2.0,0.0,26,1.0,1.0,26.0,0,0.0
3.0,1.0,28,0.0,0.0,7.8958,0,0.0
2.0,1.0,43,1.0,1.0,26.25,0,0.0
3.0,0.0,26,0.0,0.0,7.8542,0,1.0
2.0,0.0,24,1.0,0.0,26.0,0,1.0
2.0,1.0,54,0.0,0.0,14.0,0,0.0
1.0,0.0,31,0.0,2.0,164.8667,0,1.0
1.0,0.0,40,1.0,1.0,134.5,1,1.0
3.0,1.0,22,0.0,0.0,7.25,0,0.0
3.0,1.0,27,0.0,0.0,7.8958,0,0.0
2.0,0.0,30,0.0,0.0,12.35,2,1.0
2.0,0.0,22,1.0,1.0,29.0,0,1.0
3.0,1.0,34,8.0,2.0,69.55,0,0.0
1.0,0.0,36,0.0,0.0,135.6333,1,1.0
3.0,1.0,61,0.0,0.0,6.2375,0,0.0
2.0,0.0,36,0.0,0.0,13.0,0,1.0
3.0,0.0,31,1.0,1.0,20.525,0,1.0
1.0,0.0,16,0.0,1.0,57.9792,1,1.0
3.0,0.0,27,2.0,0.0,23.25,2,1.0
1.0,1.0,45,0.0,0.0,28.5,0,0.0
1.0,1.0,38,0.0,1.0,153.4625,0,0.0
3.0,1.0,16,2.0,0.0,18.0,0,0.0
1.0,0.0,36,1.0,0.0,133.65,0,1.0
3.0,1.0,27,0.0,0.0,7.8958,0,0.0
1.0,1.0,29,1.0,0.0,66.6,0,0.0
1.0,0.0,41,0.0,0.0,134.5,1,1.0
3.0,1.0,45,0.0,0.0,8.05,0,1.0
1.0,1.0,45,0.0,0.0,35.5,0,0.0
2.0,1.0,2,1.0,1.0,26.0,0,1.0
1.0,0.0,24,3.0,2.0,263.0,0,1.0
2.0,1.0,28,0.0,0.0,13.0,0,0.0
2.0,1.0,25,0.0,0.0,13.0,0,0.0
2.0,1.0,36,0.0,0.0,13.0,0,0.0
2.0,0.0,24,0.0,0.0,13.0,0,1.0
2.0,0.0,40,0.0,0.0,13.0,0,1.0
3.0,0.0,24,1.0,0.0,16.1,0,1.0
3.0,1.0,3,1.0,1.0,15.9,0,1.0
3.0,1.0,42,0.0,0.0,8.6625,0,0.0
3.0,1.0,23,0.0,0.0,9.225,0,0.0
1.0,1.0,42,0.0,0.0,35.0,0,0.0
3.0,1.0,15,1.0,1.0,7.2292,1,0.0
3.0,1.0,25,1.0,0.0,17.8,0,0.0
3.0,1.0,31,0.0,0.0,7.225,1,0.0
3.0,1.0,28,0.0,0.0,9.5,0,0.0
1.0,0.0,22,0.0,1.0,55.0,0,1.0
2.0,0.0,38,0.0,0.0,13.0,0,0.0
3.0,0.0,19,0.0,0.0,7.8792,2,1.0
3.0,0.0,19,0.0,0.0,7.8792,2,1.0
3.0,1.0,40,1.0,4.0,27.9,0,0.0
2.0,1.0,29,1.0,0.0,27.7208,1,0.0
3.0,0.0,45,0.0,1.0,14.4542,1,0.0
3.0,1.0,35,0.0,0.0,7.05,0,0.0
3.0,1.0,24,1.0,0.0,15.5,2,0.0
3.0,1.0,30,0.0,0.0,7.25,0,0.0
1.0,0.0,60,1.0,0.0,75.25,1,1.0
3.0,0.0,18,0.0,0.0,7.2292,1,1.0
3.0,0.0,19,0.0,0.0,7.75,2,1.0
1.0,0.0,24,0.0,0.0,69.3,1,1.0
1.0,1.0,25,1.0,0.0,55.4417,1,1.0
3.0,1.0,18,1.0,0.0,6.4958,0,0.0
3.0,1.0,19,0.0,0.0,8.05,0,0.0
1.0,1.0,22,0.0,0.0,135.6333,1,0.0
3.0,0.0,3,3.0,1.0,21.075,0,0.0
1.0,0.0,37,1.0,0.0,82.1708,1,1.0
3.0,0.0,22,0.0,0.0,7.25,0,1.0
1.0,1.0,27,0.0,2.0,211.5,1,0.0
3.0,1.0,20,0.0,0.0,4.0125,1,0.0
3.0,1.0,19,0.0,0.0,7.775,0,0.0
1.0,0.0,42,0.0,0.0,227.525,1,1.0
3.0,0.0,1,0.0,2.0,15.7417,1,1.0
3.0,1.0,32,0.0,0.0,7.925,0,0.0
1.0,0.0,35,1.0,0.0,52.0,0,1.0
3.0,1.0,27,0.0,0.0,7.8958,0,0.0
2.0,1.0,18,0.0,0.0,73.5,0,0.0
3.0,1.0,1,5.0,2.0,46.9,0,0.0
2.0,0.0,36,0.0,0.0,13.0,0,1.0
3.0,1.0,35,0.0,0.0,7.7292,2,0.0
2.0,0.0,17,0.0,0.0,12.0,1,1.0
1.0,1.0,36,1.0,2.0,120.0,0,1.0
3.0,1.0,21,0.0,0.0,7.7958,0,1.0
3.0,1.0,28,2.0,0.0,7.925,0,0.0
1.0,0.0,23,1.0,0.0,113.275,1,1.0
3.0,0.0,24,0.0,2.0,16.7,0,1.0
3.0,1.0,22,0.0,0.0,7.7958,0,0.0
3.0,0.0,31,0.0,0.0,7.8542,0,0.0
2.0,1.0,46,0.0,0.0,26.0,0,0.0
2.0,1.0,23,0.0,0.0,10.5,0,0.0
2.0,0.0,28,0.0,0.0,12.65,0,1.0
3.0,1.0,39,0.0,0.0,7.925,0,1.0
3.0,1.0,26,0.0,0.0,8.05,0,0.0
3.0,0.0,21,1.0,0.0,9.825,0,0.0
3.0,1.0,28,1.0,0.0,15.85,0,0.0
3.0,0.0,20,0.0,0.0,8.6625,0,0.0
2.0,1.0,34,1.0,0.0,21.0,0,0.0
3.0,1.0,51,0.0,0.0,7.75,0,0.0
2.0,1.0,3,1.0,1.0,18.75,0,1.0
3.0,1.0,21,0.0,0.0,7.775,0,0.0
3.0,0.0,30,3.0,1.0,25.4667,0,0.0
3.0,1.0,27,0.0,0.0,7.8958,0,0.0
3.0,1.0,36,0.0,0.0,6.8583,2,0.0
1.0,0.0,33,1.0,0.0,90.0,2,1.0
2.0,1.0,36,0.0,0.0,0.0,0,0.0
3.0,1.0,44,0.0,0.0,7.925,0,1.0
3.0,0.0,25,0.0,0.0,8.05,0,0.0
2.0,0.0,34,1.0,1.0,32.5,0,1.0
2.0,0.0,18,0.0,2.0,13.0,0,1.0
2.0,1.0,30,0.0,0.0,13.0,0,0.0
3.0,0.0,10,0.0,2.0,24.15,0,0.0
3.0,1.0,31,0.0,0.0,7.8958,1,0.0
3.0,1.0,21,0.0,0.0,7.7333,2,0.0
3.0,1.0,29,0.0,0.0,7.875,0,0.0
3.0,0.0,28,1.0,1.0,14.4,0,0.0
3.0,1.0,18,1.0,1.0,20.2125,0,0.0
3.0,1.0,29,0.0,0.0,7.25,0,0.0
2.0,0.0,28,1.0,0.0,26.0,0,1.0
2.0,0.0,19,0.0,0.0,26.0,0,1.0
3.0,1.0,35,0.0,0.0,7.75,2,0.0
3.0,1.0,32,0.0,0.0,8.05,0,1.0
1.0,1.0,28,0.0,0.0,26.55,0,1.0
3.0,0.0,24,1.0,0.0,16.1,0,1.0
2.0,0.0,42,1.0,0.0,26.0,0,1.0
3.0,1.0,17,0.0,0.0,7.125,0,0.0
